Dataset,Split,Stage,Accuracy,Precision,Recall,F1_score,Batch_Size,Learning_Rate
Data2/2_Dataset_5_Attack_30_normal.csv,18,train,90.95,0.902,0.9082,0.9042,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,19,train,92.23,0.9135,0.92,0.9156,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,20,train,93.23,0.9247,0.9283,0.9252,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,21,train,92.3,0.9146,0.9191,0.9149,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,22,train,92.77,0.9199,0.9225,0.9192,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,23,train,93.27,0.9261,0.9287,0.9254,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,24,train,93.62,0.926,0.928,0.9256,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,25,train,93.27,0.9247,0.927,0.924,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,26,train,93.75,0.9295,0.931,0.9282,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,27,train,93.88,0.931,0.932,0.9301,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,28,train,94.23,0.9337,0.9369,0.9339,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,29,train,94.36,0.9353,0.9379,0.9351,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,30,train,93.95,0.9302,0.9323,0.9299,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,31,train,94.08,0.9323,0.9358,0.9325,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,32,train,94.01,0.9325,0.9332,0.9313,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,33,train,93.97,0.9304,0.9331,0.9303,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,34,train,94.08,0.9311,0.9329,0.9306,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,35,train,94.08,0.9336,0.9365,0.9335,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,36,train,94.42,0.9357,0.9371,0.9347,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,37,train,93.84,0.9273,0.931,0.9276,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,38,train,94.64,0.9392,0.9395,0.9382,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,39,train,94.34,0.9344,0.9386,0.9351,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,40,train,94.75,0.9385,0.9406,0.9385,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,40,test,95.62,0.933,0.9406,0.9348,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,1,train,20.29,0.3172,0.2029,0.2032,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,2,train,28.69,0.378,0.2869,0.2923,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,3,train,37.3,0.4301,0.373,0.3462,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,4,train,40.76,0.4549,0.4076,0.3762,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,5,train,43.9,0.5154,0.439,0.4097,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,6,train,47.83,0.5319,0.4783,0.4408,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,7,train,54.69,0.5976,0.5469,0.5243,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,8,train,60.63,0.6658,0.6063,0.5893,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,9,train,67.19,0.7117,0.6719,0.6694,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,10,train,68.95,0.7573,0.6895,0.6879,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,11,train,70.92,0.7628,0.7092,0.7094,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,12,train,74.46,0.7926,0.7446,0.7481,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,13,train,78.12,0.8127,0.7812,0.7842,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,14,train,78.47,0.8166,0.7847,0.7872,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,15,train,83.77,0.8521,0.8377,0.8391,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,16,train,85.66,0.8643,0.8566,0.8572,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,17,train,89.37,0.8954,0.8937,0.8935,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,18,train,90.95,0.9106,0.9095,0.9092,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,19,train,92.23,0.9235,0.9223,0.9218,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,20,train,93.23,0.9344,0.9323,0.9322,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,21,train,92.3,0.9254,0.923,0.9225,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,22,train,92.77,0.9307,0.9277,0.9275,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,23,train,93.27,0.9352,0.9327,0.9323,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,24,train,93.62,0.9373,0.9362,0.9355,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,25,train,93.27,0.935,0.9327,0.9323,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,26,train,93.75,0.94,0.9375,0.937,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,27,train,93.88,0.9403,0.9388,0.9384,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,28,train,94.23,0.9438,0.9423,0.9418,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,29,train,94.36,0.9455,0.9436,0.9433,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,30,train,93.95,0.9412,0.9395,0.9392,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,31,train,94.08,0.9431,0.9408,0.9406,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,32,train,94.01,0.9417,0.9401,0.9396,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,33,train,93.97,0.9417,0.9397,0.9395,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,34,train,94.08,0.9422,0.9408,0.9403,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,35,train,94.08,0.9424,0.9408,0.9402,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,36,train,94.42,0.9464,0.9442,0.944,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,37,train,93.84,0.9399,0.9384,0.9378,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,38,train,94.64,0.9474,0.9464,0.9459,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,39,train,94.34,0.9454,0.9434,0.9432,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,40,train,94.75,0.9484,0.9475,0.947,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,1,test_round,25.69,0.4652,0.2569,0.2555,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,2,test_round,39.34,0.5831,0.3934,0.3998,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,3,test_round,38.03,0.5328,0.3803,0.3663,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,4,test_round,41.16,0.5839,0.4116,0.4101,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,5,test_round,43.54,0.6247,0.4354,0.4256,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,6,test_round,51.24,0.592,0.5124,0.4961,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,7,test_round,52.01,0.7473,0.5201,0.5094,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,8,test_round,59.61,0.7336,0.5961,0.6149,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,9,test_round,63.61,0.7989,0.6361,0.659,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,10,test_round,59.72,0.7755,0.5972,0.6112,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,11,test_round,66.89,0.8116,0.6689,0.6931,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,12,test_round,70.7,0.8244,0.707,0.7272,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,13,test_round,70.91,0.828,0.7091,0.7297,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,14,test_round,88.38,0.8938,0.8838,0.8854,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,15,test_round,74.85,0.8444,0.7485,0.7645,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,16,test_round,90.91,0.9163,0.9091,0.9106,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,17,test_round,89.36,0.9035,0.8936,0.8956,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,18,test_round,90.86,0.9148,0.9087,0.9099,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,19,test_round,91.23,0.9189,0.9123,0.9138,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,20,test_round,92.93,0.9315,0.9293,0.9296,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,21,test_round,94.21,0.9455,0.9421,0.9425,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,22,test_round,94.56,0.9482,0.9456,0.9457,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,1,train,20.29,0.3172,0.2029,0.2032,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,2,train,28.69,0.378,0.2869,0.2923,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,3,train,37.3,0.4301,0.373,0.3462,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,4,train,40.76,0.4549,0.4076,0.3762,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,5,train,43.9,0.5154,0.439,0.4097,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,6,train,47.83,0.5319,0.4783,0.4408,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,23,test_round,94.61,0.9492,0.9461,0.9463,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,7,train,54.69,0.5976,0.5469,0.5243,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,8,train,60.63,0.6658,0.6063,0.5893,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,9,train,67.19,0.7117,0.6719,0.6694,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,10,train,68.95,0.7573,0.6895,0.6879,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,11,train,70.92,0.7628,0.7092,0.7094,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,12,train,74.46,0.7926,0.7446,0.7481,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,13,train,78.12,0.8127,0.7812,0.7842,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,14,train,78.47,0.8166,0.7847,0.7872,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,15,train,83.77,0.8521,0.8377,0.8391,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,24,test_round,95.19,0.9538,0.952,0.9519,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,16,train,85.66,0.8643,0.8566,0.8572,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,17,train,89.37,0.8954,0.8937,0.8935,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,18,train,90.95,0.9106,0.9095,0.9092,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,19,train,92.23,0.9235,0.9223,0.9218,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,20,train,93.23,0.9344,0.9323,0.9322,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,21,train,92.3,0.9254,0.923,0.9225,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,22,train,92.77,0.9307,0.9277,0.9275,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,23,train,93.27,0.9352,0.9327,0.9323,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,24,train,93.62,0.9373,0.9362,0.9355,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,25,test_round,95.14,0.9534,0.9514,0.9514,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,25,train,93.27,0.935,0.9327,0.9323,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,26,train,93.75,0.94,0.9375,0.937,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,27,train,93.88,0.9403,0.9388,0.9384,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,28,train,94.23,0.9438,0.9423,0.9418,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,29,train,94.36,0.9455,0.9436,0.9433,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,30,train,93.95,0.9412,0.9395,0.9392,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,31,train,94.08,0.9431,0.9408,0.9406,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,32,train,94.01,0.9417,0.9401,0.9396,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,33,train,93.97,0.9417,0.9397,0.9395,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,26,test_round,94.89,0.9522,0.9489,0.9492,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,34,train,94.08,0.9422,0.9408,0.9403,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,35,train,94.08,0.9424,0.9408,0.9402,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,36,train,94.42,0.9464,0.9442,0.944,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,37,train,93.84,0.9399,0.9384,0.9378,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,38,train,94.64,0.9474,0.9464,0.9459,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,39,train,94.34,0.9454,0.9434,0.9432,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,40,train,94.75,0.9484,0.9475,0.947,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,27,test_round,95.35,0.9556,0.9535,0.9534,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,1,test_round,25.69,0.4652,0.2569,0.2555,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,28,test_round,95.41,0.9557,0.9541,0.9539,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,1,train,20.29,0.3172,0.2029,0.2032,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,2,train,28.69,0.378,0.2869,0.2923,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,3,train,37.3,0.4301,0.373,0.3462,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,4,train,40.76,0.4549,0.4076,0.3762,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,2,test_round,39.34,0.5831,0.3934,0.3998,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,5,train,43.9,0.5154,0.439,0.4097,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,6,train,47.83,0.5319,0.4783,0.4408,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,29,test_round,95.54,0.9572,0.9554,0.9553,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,7,train,54.69,0.5976,0.5469,0.5243,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,8,train,60.63,0.6658,0.6063,0.5893,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,9,train,67.19,0.7117,0.6719,0.6694,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,10,train,68.95,0.7573,0.6895,0.6879,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,11,train,70.92,0.7628,0.7092,0.7094,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,12,train,74.46,0.7926,0.7446,0.7481,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,13,train,78.12,0.8127,0.7812,0.7842,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,3,test_round,38.03,0.5328,0.3803,0.3663,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,14,train,78.47,0.8166,0.7847,0.7872,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,15,train,83.77,0.8521,0.8377,0.8391,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,30,test_round,95.36,0.9563,0.9536,0.9537,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,16,train,85.66,0.8643,0.8566,0.8572,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,17,train,89.37,0.8954,0.8937,0.8935,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,18,train,90.95,0.9106,0.9095,0.9092,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,19,train,92.23,0.9235,0.9223,0.9218,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,20,train,93.23,0.9344,0.9323,0.9322,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,21,train,92.3,0.9254,0.923,0.9225,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,22,train,92.77,0.9307,0.9277,0.9275,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,4,test_round,41.16,0.5839,0.4116,0.4101,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,23,train,93.27,0.9352,0.9327,0.9323,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,24,train,93.62,0.9373,0.9362,0.9355,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,31,test_round,95.59,0.9574,0.956,0.9557,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,25,train,93.27,0.935,0.9327,0.9323,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,26,train,93.75,0.94,0.9375,0.937,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,27,train,93.88,0.9403,0.9388,0.9384,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,28,train,94.23,0.9438,0.9423,0.9418,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,29,train,94.36,0.9455,0.9436,0.9433,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,30,train,93.95,0.9412,0.9395,0.9392,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,31,train,94.08,0.9431,0.9408,0.9406,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,5,test_round,43.54,0.6247,0.4354,0.4256,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,32,train,94.01,0.9417,0.9401,0.9396,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,33,train,93.97,0.9417,0.9397,0.9395,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,32,test_round,95.19,0.9551,0.9519,0.9521,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,34,train,94.08,0.9422,0.9408,0.9403,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,35,train,94.08,0.9424,0.9408,0.9402,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,36,train,94.42,0.9464,0.9442,0.944,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,37,train,93.84,0.9399,0.9384,0.9378,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,38,train,94.64,0.9474,0.9464,0.9459,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,39,train,94.34,0.9454,0.9434,0.9432,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,6,test_round,51.24,0.592,0.5124,0.4961,128,3e-05
Data2/2_Dataset_5_Attack_30_normal.csv,40,train,94.75,0.9484,0.9475,0.947,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,33,test_round,95.41,0.9564,0.9541,0.9541,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,7,test_round,52.01,0.7473,0.5201,0.5094,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,1,test_round,25.69,0.4652,0.2569,0.2555,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,34,test_round,95.58,0.9575,0.9558,0.9556,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,8,test_round,59.61,0.7336,0.5961,0.6149,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,2,test_round,39.34,0.5831,0.3934,0.3998,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,35,test_round,95.62,0.9578,0.9562,0.956,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,9,test_round,63.61,0.7989,0.6361,0.659,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,3,test_round,38.03,0.5328,0.3803,0.3663,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,36,test_round,95.53,0.9577,0.9553,0.9554,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,10,test_round,59.72,0.7755,0.5972,0.6112,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,4,test_round,41.16,0.5839,0.4116,0.4101,128,3e-05
Data2/2_Dataset_5_Attack_120_normal.csv,37,test_round,95.69,0.9588,0.9568,0.9568,128,3e-05
